date,1,2,3,4
2020/4/30,7.78,10.6,2.9,0.25
2020/5/1,7.54,8.49,2,0.1
2020/5/2,7.29,9.98,1.9,0.12
2020/5/3,6.91,6.86,3.1,0.41
2020/5/4,7.2,15.3,1,0.32
2020/5/5,8.09,11.6,6.2,1.55
2020/5/6,7.54,9.92,1.6,0.73
2020/5/7,6.52,7.81,2.9,0.32
2020/5/8,8.05,11.2,3.6,0.19
2020/5/9,8.32,7.67,1.6,0.08
2020/5/10,8.21,9.22,2.3,0.18
2020/5/11,8.14,9.21,1.1,0.12
2020/5/12,8.35,10.6,3,0.16
2020/5/13,7.45,8.92,2.2,0.2
2020/5/14,7.63,8.51,2.8,0.16
2020/5/15,7.98,9.75,2.3,0.28
2020/5/16,8.26,10.6,1.3,0.15
2020/5/17,7.69,9.19,2.5,0.52
2020/5/18,7.06,9.62,2,0.22
2020/5/19,7.62,9.75,2.7,0.08
2020/5/20,8.1,13.3,1.1,0.09
2020/5/21,7.91,11.2,3.5,0.22
2020/5/22,7.55,8.82,1.9,0.14
2020/5/23,7.28,9.58,1.6,0.13
2020/5/24,6.91,7.13,3.1,0.32
2020/5/25,6.87,10.2,0.9,0.31
2020/5/26,8.39,13.1,5.8,1.45
2020/5/27,7.48,9.76,1.6,0.73
2020/5/28,6.52,8.28,3,0.33
2020/5/29,7.92,10.7,3.1,0.13
2020/5/30,8.23,8.43,1.8,0.08
2020/5/31,8.15,9.29,2.4,0.23
2020/6/1,8.23,9.28,1,0.11
2020/6/2,8.36,10.2,3.1,0.16
2020/6/3,7.24,9.17,2.6,0.18
2020/6/4,7.59,8.16,2.6,0.12
2020/6/5,7.95,9.68,1.6,0.26
2020/6/6,8.36,10.6,1.6,0.16
2020/6/7,7.69,9.44,2.2,0.51
2020/6/8,7.2,9.94,2,0.26
2020/6/9,7.5,9.71,2.7,0.08
2020/6/10,8.02,13.2,1.2,0.15
2020/6/11,8.36,12.5,4.8,0.18
2020/6/12,7.66,9.06,2.1,0.1
2020/6/13,7.24,9.31,1.6,0.13
2020/6/14,6.9,6.6,2.9,0.48
2020/6/15,6.69,12.9,1.1,0.31
2020/6/16,8.63,15.1,4.2,1.44
2020/6/17,7.57,9.27,1.3,0.83
2020/6/18,6.66,7,3,0.32
2020/6/19,7.8,10.1,2.7,0.14
2020/6/20,8.26,9.58,1.4,0.07
2020/6/21,8.13,9.31,2.1,0.2
2020/6/22,8,9.34,1,0.12
2020/6/23,8.35,9.91,2.9,0.23
2020/6/24,7.24,9.09,2.8,0.1
2020/6/25,7.6,8.33,2.6,0.14
2020/6/26,7.93,9.58,2,0.3
2020/6/27,7.99,10.6,1.8,0.16
2020/6/28,7.66,9.17,2.5,0.47
2020/6/29,7.22,9.5,2.2,0.2
2020/6/30,7.59,9.76,2.6,0.09
2020/7/1,7.94,13.2,1,0.16
2020/7/2,8.5,12.6,4.8,0.21
2020/7/3,7.69,9.42,2,0.09
2020/7/4,7.68,9.38,1.6,0.09
2020/7/5,6.62,4.17,2.9,0.8
2020/7/6,6.71,10.5,1,0.31
2020/7/7,8.56,13.5,4.6,1.44
2020/7/8,7.59,9.6,2,0.79
2020/7/9,6.94,7.71,3.1,0.37
2020/7/10,7.71,9.78,3.7,0.14
2020/7/11,8.27,8.62,1.3,0.13
2020/7/12,8.09,9.27,1.9,0.21
2020/7/13,7.83,9.43,1,0.12
2020/7/14,8.36,9.73,3,0.23
2020/7/15,7.2,8.69,3,0.13
2020/7/16,7.63,8.19,2.4,0.14
2020/7/17,7.95,9.62,2.1,0.32
2020/7/18,8.14,10.8,2.1,0.13
2020/7/19,7.65,8.95,2.4,0.44
2020/7/20,7.24,9.25,2,0.22
2020/7/21,7.52,9.39,2.7,0.12
2020/7/22,7.86,13.3,1,0.11
2020/7/23,8.05,11.2,3.6,0.2
2020/7/24,7.7,9.66,1.6,0.13
2020/7/25,7.52,9.87,1.6,0.12
2020/7/26,6.87,7.12,2.8,0.6
2020/7/27,6.8,13.6,1.1,0.32
2020/7/28,8.73,17.7,3.9,1.46
2020/7/29,7.67,10.2,3.2,1
2020/7/30,7.19,8.74,2.9,0.36
2020/7/31,7.65,9.82,2.8,0.22
2020/8/1,8.26,8.3,1.4,0.14
2020/8/2,8.02,9.21,1.8,0.2
2020/8/3,7.84,9.63,0.8,0.14
2020/8/4,8.39,9.78,2.6,0.29
2020/8/5,7.13,8.3,2.6,0.14
2020/8/6,7.66,9.16,2.1,0.23
2020/8/7,8,9.7,2.3,0.35
2020/8/8,7.95,9.86,2,0.15
2020/8/9,7.59,8.43,3,0.57
2020/8/10,7.26,9.3,2,0.22
2020/8/11,7.5,9.18,2.7,0.16
2020/8/12,7.82,13.1,1.1,0.1
2020/8/13,7.91,11.3,3.2,0.19
2020/8/14,7.68,9.97,1.8,0.14
2020/8/15,7.35,9.86,1.8,0.1
2020/8/16,6.9,7.78,2.6,0.56
2020/8/17,6.76,13.2,1,0.23
2020/8/18,8.61,17.8,4,1.41
2020/8/19,7.72,10.8,2.2,0.89
2020/8/20,7.09,8.81,2.9,0.4
2020/8/21,7.78,10.6,2.9,0.23
2020/8/22,8.21,8.21,1.2,0.1
2020/8/23,8.05,9.71,1.8,0.21
2020/8/24,7.74,9.75,0.7,0.13
2020/8/25,8.39,10,2.3,0.28
2020/8/26,7.07,8.4,2.4,0.09
2020/8/27,7.62,9.14,2.2,0.18
2020/8/28,8.1,10.1,2.7,0.41
2020/8/29,7.77,9.36,2.1,0.16
2020/8/30,7.63,8.89,3.1,0.76
2020/8/31,7.28,10.4,1.4,0.26
2020/9/1,7.77,9.49,3.1,0.15
2020/9/2,7.83,13.5,1.1,0.07
2020/9/3,8.33,12.3,4.5,0.15
2020/9/4,7.72,10.2,2.1,0.13
2020/9/5,7.19,8.88,2.3,0.1
2020/9/6,6.94,7.29,2.3,0.36
2020/9/7,6.76,11.4,1,0.23
2020/9/8,8.52,12.4,4.1,1.41
2020/9/9,7.75,10.4,2,0.76
2020/9/10,6.88,8.87,3.3,0.44
2020/9/11,7.81,10.7,3.2,0.24
2020/9/12,8.21,8.16,0.9,0.1
2020/9/13,8.07,9.58,1.8,0.16
2020/9/14,7.76,9.58,1.6,0.16
2020/9/15,8.5,10.4,3.1,0.17
2020/9/16,7.06,8.41,2.1,0.11
2020/9/17,7.61,8.94,2.4,0.2
2020/9/18,8.09,10,3.1,0.47
2020/9/19,7.97,9.25,2.8,0.17
2020/9/20,7.62,9.03,2.7,0.48
2020/9/21,7.32,10.1,1.2,0.18
2020/9/22,7.77,9.53,3.1,0.14
2020/9/23,7.47,12.8,1,0.21
2020/9/24,8.51,12.3,5.4,0.15
2020/9/25,7.75,9.75,1.6,0.16
2020/9/26,7.31,9.19,2.3,0.11
2020/9/27,6.91,7.22,2.3,0.38
2020/9/28,6.86,14,1,0.24
2020/9/29,8.22,7.78,6.5,1.42
2020/9/30,7.74,10.5,2.2,0.78
2020/10/1,7.07,8.46,3.9,0.36
2020/10/2,7.76,10.3,3.4,0.3
2020/10/3,8.12,8.11,1.5,0.11
2020/10/4,8.11,9.32,1.7,0.15
2020/10/5,7.64,9.54,1.7,0.17
2020/10/6,8.57,10.3,3.2,0.3
2020/10/7,7.11,8.44,2.1,0.12
2020/10/8,7.62,8.5,1.9,0.25
2020/10/9,8.07,9.47,1.6,0.47
2020/10/10,8.01,8.73,2,0.19
2020/10/11,7.7,8.49,3,0.56
2020/10/12,7.4,9.64,1.3,0.14
2020/10/13,7.71,9.54,3.3,0.13
2020/10/14,7.22,12.1,1.1,0.21
2020/10/15,8.16,11.1,4,0.24
2020/10/16,7.75,9.69,1.8,0.12
2020/10/17,7.41,9.4,2.3,0.11
2020/10/18,6.9,7.43,2.1,0.34
2020/10/19,6.9,14.4,0.8,0.27
2020/10/20,8.48,12.8,5.8,1.32
2020/10/21,7.81,10.2,3.1,0.86
2020/10/22,7.1,8.58,2.9,0.35
2020/10/23,7.66,9.88,2.9,0.32
2020/10/24,8.07,7.82,0.8,0.09
2020/10/25,8.15,9.34,1.8,0.15
2020/10/26,7.7,9.79,1.7,0.19
2020/10/27,8.42,10.2,3,0.3
2020/10/28,7.09,8.27,2.3,0.1
