1,2,3,4,5,6,7,8,9
7.46,6.26,318.1,67.7,1.68,1.62,16.5,13000,0.031
7.45,6.28,316.5,80.3,1.74,1.66,16.5,13000,0.04
7.46,6.25,316,80.1,1.91,1.69,16.5,13000,0.039
7.45,7.01,306.1,71.5,1.46,1.61,16.5,13000,0.033
7.43,9.06,292.6,81.4,1.88,1.49,16.25,12700,0.035
7.53,6.19,307.6,87,2.11,1.62,16.25,12700,0.07
7.53,6.18,307.5,87,1.95,1.64,16.25,12700,0.049
7.55,6.23,308,87.7,1.75,1.59,15.99,12100,0.043
7.52,6.22,307.8,74,1.87,1.55,15.99,12100,0.038
7.5,6.18,307.3,131.2,2.4,1.69,15.99,12100,0.051
7.56,6.18,306.9,80.9,1.9,1.56,15.99,12100,0.039
7.52,6.18,307.5,77.4,1.91,1.55,15.99,12100,0.038
7.52,6.15,319.2,74.6,1.92,1.52,15.99,12100,0.035
7.52,6.11,320,77.7,1.96,1.53,15.83,10800,0.037
7.48,6.18,318.4,97.3,2.1,1.67,15.83,10800,0.047
7.5,6.1,362.2,150.3,2.08,1.6,15.11,7920,0.071
7.49,6.01,361.4,141.2,2,1.6,15.11,7920,0.083
7.51,6,361.4,150.2,1.65,1.63,15.81,12400,0.076
7.48,5.93,361.4,146.5,1.74,1.63,15.81,12400,0.07
7.51,5.97,372.9,151.2,1.29,1.6,15.81,12400,0.057
7.48,5.97,372.9,151.2,1.52,1.65,15.81,12400,0.067
7.5,5.97,372.9,155.2,1.89,1.62,15.81,12400,0.061
7.48,6.06,373,217.6,1.7,1.65,15.81,12400,0.051
7.51,6.07,373.8,227.4,1.79,1.64,16.33,13500,0.046
7.57,6.1,362.7,219,1.72,1.65,16.33,13500,0.043
7.51,6.06,361.9,231.8,1.64,1.65,16.33,13500,0.04
7.56,6.08,361.9,229.4,2,1.61,16.33,13500,0.043
7.49,6.02,361.8,232.2,1.36,1.6,16.33,13500,0.042
7.49,5.97,352,241.8,1.57,1.64,16.33,13500,0.041
7.46,5.99,352.7,235.3,2.16,1.65,16.59,11000,0.045
7.47,6.02,353,237.9,1.74,1.62,16.59,11000,0.045
7.54,6.03,341,246.4,1.42,1.64,16.59,11000,0.048
7.46,5.99,351.6,242,1.58,1.68,16.59,11000,0.048
7.45,5.94,350.6,242.2,2.02,1.7,16.59,11000,0.051
7.46,5.88,341.4,241.2,1.61,1.73,16.59,11000,0.053
7.46,5.79,342.5,244.8,2.1,1.72,16.71,9500,0.056
7.46,5.8,342.8,244.6,2,1.7,16.71,9500,0.055
7.41,5.76,340.4,245,1.84,1.71,16.71,9500,0.056
7.43,5.77,328.5,248.1,1.77,1.7,16.71,9500,0.056
7.41,5.67,331.1,242.9,1.71,1.72,16.74,8250,0.061
7.41,5.65,329.7,242.5,1.5,1.68,16.74,8250,0.05
7.41,5.67,328.1,245.5,2.17,1.69,16.74,8250,0.05
7.8,6.77,344.8,236.6,3.26,2.01,16.64,2280,0.108
7.8,6.74,345.8,240.5,2.68,2.05,16.64,2280,0.097
7.76,6.45,345,242.9,2.4,2.01,16.64,2280,0.11
7.76,6.39,335.2,255,3.36,2.07,16.61,2370,0.107
7.76,6.46,336.1,262.8,5.59,2.08,16.61,2370,0.079
7.76,6.46,332.1,267.6,4.3,2.06,16.61,2370,0.096
7.83,6.62,333.5,263.8,2.46,2.11,16.61,2370,0.125
7.79,6.52,334.5,276.1,2.88,2.19,16.61,2370,0.12
7.78,6.54,336.3,304.8,3.34,2.24,16.61,2460,0.124
7.81,6.57,337,300,3,2.2,16.61,2460,0.131
7.82,6.65,335.7,308.8,3.03,2.21,16.61,2460,0.116
7.82,6.65,335.2,317,3.08,2.22,16.61,2460,0.141
7.8,6.6,335.8,307.9,3.1,2.21,16.61,2460,0.114
7.82,6.61,335.9,311.4,2.97,2.18,16.61,2900,0.157
7.81,6.6,337.3,302.5,2.72,2.15,16.61,2900,0.143
7.82,6.65,336,302.5,2.46,2.13,16.61,2900,0.107
7.82,6.71,344,295.6,2.6,2.09,16.61,2900,0.117
7.82,6.63,346.4,293.4,2.79,2.04,16.61,2900,0.101
7.83,6.64,346.5,292,2.69,2.03,16.59,2950,0.105
7.82,6.68,347.3,284.3,2.44,1.95,16.59,2950,0.115
7.83,6.72,345.8,278,2.32,1.98,16.59,2950,0.113
7.83,6.7,355.3,278.6,2.31,2,16.59,2950,0.111
7.83,6.46,347,237.7,2.29,2.02,15.67,4100,0.076
7.84,6.51,346.6,235.2,2.14,2.02,15.67,4100,0.059
8.11,6.85,335.3,65.8,3.4,1.73,16.65,2400,0.119
8.09,6.56,347.1,230.5,2.77,2.57,16.65,2400,0.295
8.09,6.48,276,177.2,2.88,1.75,16.65,2400,0.179
8.1,6.69,336.5,53.2,2.77,1.73,16.66,2560,0.101
8.34,7.65,362.3,62.7,0.44,1.84,13.35,3340,0.077
8.36,7.63,351.4,61.6,2.42,1.84,13.35,3340,0.081
8.33,7.64,353.4,58.6,2.29,1.86,13.13,3210,0.079
8.35,7.63,353.1,62.9,2.39,1.83,13.13,3210,0.081
8.32,7.63,366.6,76.3,2.02,1.84,13.13,3210,0.077
8.29,7.51,359.6,61.8,1.66,1.82,11.35,2260,0.07
8.29,7.52,357.6,56.7,1.11,1.91,11.35,2260,0.074
8.29,7.48,359.4,60,1.76,1.87,11.35,2260,0.074
8.26,7.6,358.4,56.6,1.9,2.14,11.33,2160,0.073
8.29,7.41,357.8,60.4,1.86,1.92,11.33,2160,0.07
8.29,7.39,359.2,60.1,1.39,1.85,11.33,2160,0.071
8.31,7.44,360.4,57.4,1.42,1.79,11.36,2000,0.073
8.33,7.82,344,57.2,1.96,1.88,11.37,1650,0.077
