Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9
7.609999999999999,7.260000000000001,413.8,29.6,2.27,2.17,10.8125,3410.0,0.104
7.62,7.19,413.5,33.5,2.24,2.11,10.8125,3410.0,0.096
7.63,7.19,413.4,34.5,2.09,2.1,10.8125,3410.0,0.084
7.63,7.180000000000001,413.3,34.1,2.47,2.14,10.8125,3410.0,0.077
7.63,7.14,417.0,32.2,1.98,2.1,10.775,3190.0,0.102
7.6,7.13,418.3999999999999,32.1,2.66,2.1,10.775,3190.0,0.094
7.63,7.09,418.8,32.0,2.14,2.07,10.775,3190.0,0.081
7.650000000000001,7.1000000000000005,418.7,32.8,2.11,2.1,10.775,3190.0,0.072
7.62,7.01,417.99999999999994,31.5,2.76,2.07,10.775,3190.0,0.074
7.63,7.0,420.4,29.9,2.5,2.11,10.905,3305.0,0.076
7.660000000000001,6.799999999999999,418.6,30.9,2.1,2.1,10.905,3305.0,0.068
7.63,6.83,418.9,36.4,2.6000000000000005,2.1,10.905,3305.0,0.069
7.63,6.84,418.5,27.6,1.89,2.05,11.07,3564.9999999999995,0.063
7.64,6.9,416.8,27.8,2.64,2.04,11.07,3564.9999999999995,0.061000000000000006
7.650000000000001,6.869999999999999,415.3,28.4,2.45,2.03,11.07,3564.9999999999995,0.055
7.64,6.88,415.8,27.7,2.18,2.01,11.07,3564.9999999999995,0.065
